"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"MQWTI0053R","Nyali","Gated",0.744515397539797,-0.103634939029944,1.87282675848695,-0.368630384061588
"FQOFW9884X","Bamburi","Gated",-1.33555302635994,-0.0537258695972282,0.0490674028333608,-2.23372737549103
"GWNUB3666I","Bamburi","Gated",-0.630674266542043,-0.351316992695312,0.354376274416313,-2.16701710414357
"KAAPH8918T","Mwaembe","Traditional",-0.469457543094608,0.629777962457805,0.167585212761424,-1.45130081785226
"OQJPL6449C","Mwaembe","Traditional",2.0228046382361,1.01608979535028,-1.52834508597662,0.781740668285032
"DZDGN3872P","Bamburi","Gated",-1.09592745940945,-0.539748284643938,0.106726140956435,-1.44089193576451
"BJFDF5163Q","Bamburi","Traditional",-1.43092260982067,0.0658803008834125,-0.532822107913312,-0.861055665585321
"USPLS7899K","Bamburi","Gated",-0.765394012980254,-0.401036983440497,-0.547763774598528,-1.75932432171397
"BUPGC6315Z","Bamburi","Traditional",-1.56182283211333,0.365455617941321,0.331328677867104,-1.75686779463189
"QQBJR8931D","Bamburi","Gated",-1.10859562679089,-0.769990535245699,-0.049395358554148,-1.59947888372395
"TCSHU8410S","Mwaembe","Traditional",-0.021657957028823,0.221779625063297,-1.90080931975907,1.11868858452313
"XRZMZ7738U","Mwaembe","Traditional",-0.345841169828209,0.204570741328367,-1.29996175635151,0.78816138942756
"KSFWL6953F","Bamburi","Gated",-1.78571501491128,0.719342484715144,-0.688762370158762,-2.39494386458073
"TGUCO0689M","Bamburi","Gated",-1.67485285157712,0.536639291363515,-1.44948108176548,-1.29849660823046
"FEDEA4775E","Nyali","Gated",1.41101524190807,0.192144438474324,1.49337110501476,0.130836627207556
"HMRKX6192U","Mwandamo","Gated",0.133935135078443,0.368858535697849,1.15681906082056,-1.04914545794602
"LVIPI8658G","Mwandamo","Gated",-0.864154372490678,0.98993649175436,-1.85059361645963,0.752823129498644
"QOVBA9692D","Mwandamo","Gated",1.91002372793174,1.62372796041265,-2.09580277626274,0.739819668998767
"KZJYF3342V","Mwandamo","Gated",0.969866051745043,0.728141915693227,-1.29386277215956,0.942245218412024
"DHBHE9703W","Mwandamo","Gated",-0.429191961547832,0.709130412850076,-1.69528280762848,1.01128330999871
"XGZXX9772V","Mwandamo","Gated",-0.515812141771933,0.593194998977294,-1.31801976331273,0.817705597116371
"VMTSI8488W","Mwandamo","Gated",1.05732505746911,0.945875307650729,-1.54720091820309,0.896415773855017
"LYJER3603A","Mwandamo","Gated",2.26525910289687,1.02563904297463,-0.681354065351094,0.0685400470933128
"FGNID0432D","Mwandamo","Gated",-0.369164128545985,0.748092236742065,-1.11082031132495,0.669306536992966
"EPUTZ3037Y","Mwandamo","Gated",0.0450334072516537,0.45210493807292,-0.882635418288287,0.779447716470778
"VZVNG7213E","Mwandamo","Gated",0.133261518640051,1.05159845385114,-1.87484170458219,0.809400822415805
"GOXUR3663U","Mwandamo","Gated",-0.522885514497563,0.979696693025449,-1.71118718088188,0.745796326373928
"PCBYZ6713W","Mwandamo","Gated",2.01526316555472,1.36088431053139,-1.85260090321652,0.861042057304009
"KLPTD2701H","Mwandamo","Gated",-0.845348492733704,0.873709593667019,-1.76764671686804,0.873206935147874
"MSPIH3564A","Nyali","Gated",-1.19685353849832,0.014377617165222,1.91523076842901,-0.359365068596664
"WSHGR2708N","Nyali","Gated",-0.572893782467321,0.0231200009542209,0.32252465965873,0.516090862492827
"QKZTS0987G","Nyali","Gated",-0.132886143497487,-0.462771829607068,1.15040252707105,-0.164161337369685
"RNUGJ0465J","Nyali","Gated",-0.655240142607065,-0.214472881097899,1.2445979321927,0.128529572222448
"TIXXI3471D","Nyali","Gated",-1.45155154085126,0.41316770802922,1.20284340140214,-0.515022368407403
"JQEKN7461A","Nyali","Gated",0.320162253959791,-0.438846735629895,1.7555412742213,-0.182318740473895
"ENTSP2628H","Nyali","Gated",0.641514165375124,0.220099933916605,1.79223669996095,-0.183404304739374
"DNSPR2122Q","Nyali","Gated",0.639512570994106,0.192057589909848,1.82364605853523,-0.176391734481646
"SSAGJ5939L","Nyali","Gated",-1.26168297795739,0.045522610529218,1.36395565892443,-0.235419555194601
"KIIEN4120J","Nyali","Gated",-1.47840601337542,0.344692496858735,1.30970150645617,-0.491673773435792
"IHYJW0906E","Bamburi","Traditional",-1.57053442541394,0.364332305557215,-0.562203050846709,-0.972075261793458
"TTNQT5960F","Bamburi","Traditional",-1.18095333207451,-0.118788064869841,0.109924229153162,-1.5768978200131
"FYUGI4605N","Bamburi","Gated",-0.867529945549463,-0.700038677326208,-0.18231655446552,-1.20724305971729
